Skill_level,Company_specificity,Year,Poste,Job,Code_job_Apec,Code_naf_INSSE,Experience,Average_salary_ranges,Regions,Offer
connaissance d'outil plm,utilisatrice,2016,chef de projet expérimenté,chef projet plm,4 d Projets scientifiques et techniques,Activités informatiques,experimenté,45 k€ et plus,Île-de-France,ui   propose des solutions de réalité augmentée très novatrices pour   l’industrie. La société étant en pleine croissance  nous recherchons   un chef de projet expérimenté H-F qui contribuera au pilotage   de nos projets à forte valeur ajoutée en collaboration directe   avec nos clients grands comptes.Poste et missions : Rattaché(e)   à la direction industrielle et soutenu par nos équipes R&D et   commerciales  vous serez en charge de : L’analyse des besoins   clients et définition du cahier des charges L’encadrement et   le pilotage des projets (solutions logiciels et matériels déstinés   à l'industrie) L’interface avec les clients et la coordination   avec les équipes R&D  commerciales et delivery Du reporting auprès   de la direction D’assurer la satisfaction client Vous pourrez   aussi être amené(e) à accompagner les équipes sur les phases   d’avant-vente pour évaluer les besoins du projet (planning  staffing    gestion des risques).Profil : De formation Bac +3/5 (Licence   / Maîtrise  Ecole d’ingénieur  Master)  vous avez a minima une   première expérience de 3 ans en gestion de projets techniques   (suivi  avancement livrable  coûts  etc…). Idéalement  vous êtes   à l’aise avec les concepts et outils communément utilisés dans   les systèmes d’informations industriels (_______PLM_______  MES et autres).  Compétences requises : Forte capacité d’écoute et d’analyse   Force de proposition et goût des challenges Aisance relationnelle   et rédactionnelle Rigueur et autonomie Capacité à organiser et   structurer des activités Anglais courant et allemand apprécié   Très bonne connaissance des secteurs industriels Réel intérêt   pour les nouvelles technologies interactives (Réalité virtuelle    Réalité augmentée) et idéalement une première expérience dans   le domainePoste à pourvoir très rapidement.
maîtriser plm et ses outils est un impératif,utilisatrice,2016,chef de projet fabrication plm,chef projet industrialisation,10 e Process  méthodes,Intermédiaires du recrutement,experimenté,45 k€ et plus,Île-de-France,rques emblématiques et connaissant un développement accéléré   dans le monde avec plus de 1 000 magasins et l'ouverture de 100   boutiques par an. Description du poste : En tant que Chef de   projet fabrication _______PLM_______ H/F  vos missions sont les suivantes :   * Maîtriser les enjeux opérationnels des processus critiques   du Groupe: la fabrication  le style  le sourcing  * Maîtriser   les fonctionnalités de la solution actuelle (Storeland et CDesign)    * Développer une road map avec les Directions fonctionnelles    * Connaître les solutions alternatives du marché  * Faire évoluer   les solutions en fonction des demandes métiers : conception fonctionnelle   et technique  paramétrer  faire développer  tester  organiser   la recette  déployer et accompagner les utilisatrices  * Maintenir   la solution au grès des évolutions du l'activité. Profil recherché   : Vous possédez au moins 3 ans d'expérience dans la gestion de   projets informatiques. Une forte envie d'apprendre de nouvelles   solutions techniques  de nouveaux processus métiers. Vous êtes   rigoureux(se)  structuré(e)  collaboratif(ve) et ouvert(e) aux   autres. Vous avez une bonne connaissance des bases de données.   Une connaissance des processus de fabrication serait un plus.   Vous parlez un anglais courant. Conditions et Avantages Conditions   et avantages attractifs
maîtriser plm et ses outils est un impératif,intégratrice,2015,chef de projet fonctionnel amoa  - bordeaux,chef projet plm,6 c Informatique de gestion,Activités informatiques,experimenté,de 38 k€ à 44 k€,Aquitaine-Limousin-Poitou-Charentes,acteur innovant de notre Groupe au sein de la division Sud-Ouest    composée des agences de Toulouse  Bordeaux  Pau et Orthez.  800   collaborateurs interviennent sur des projets d'envergure  dans   des contextes internationaux ou de proximité  au forfait ou en   assistance technique  pour des clients Grands Comptes.  En intégrant   Gfi Informatique Sud-Ouest  vous pourrez exprimer votre personnalité   dans notre entité à taille humaine  auprès de services de proximité   attentifs à votre évolution et au développement de vos compétences   sur une de nos branches: le développement d'applications (Applications   Services dont les activités _______PLM_______)  les métiers de l'infrastructure   et de la Production (Infrastructure Services)  mais encore le   Consulting ou l'édition de logiciels et de progiciels.  Venez   rejoindre une région en croissance !   Poste et missions :     L'agence de Bordeaux recrute un Chef de projet fonctionnel (H/F)   Descriptif : Intégré au service informatique  vous êtes l'interface   entre les équipes fonctionnels et métiers et l'équipe études   et développement  vous êtes en contact également avec les éditeurs   de logiciels. Vos tâches: o Responsable de la mise en œuvre de   plusieurs projets informatiques (d'une dizaine à plusieurs centaines   de jours-hommes) notamment au niveau du respect de la qualité    du coût et des délais de mise en œuvre.  o Gérer les projets   au quotidien :  - suivi de l'avancement  du budget  des risques.   - reporting opérationnel  - coordination de la mise en œuvre   du projet (daily meeting  implication du métier en recette …)   o Rédaction des Spécifications Fonctionnelles Détaillées (SFD)   o Rédaction du Cahier de Tests Fonctionnels Votre expérience   vous permet de traiter des projets dans des domaines fonctionnels   variés. Profil : Compétences requises : De formation BAC +4/+5   en informatique  vous avez une expérience d'au moins 3 ans en   gestion de projet et en management transverse.  
connaissance d'outil plm,utilisatrice,2016,chef de projet gestion de production,chef projet plm,7 b Cadres de production industrielle,Industrie pharmaceutique,toute experience,de 38 k€ à 44 k€,Auvergne-Rhône-Alpes,ns plus de 50   pays et sous l’animation de nos 19 filiales  nous croyons que   les médicaments homéopathiques sont des atouts considérables   pour la santé de la population. La philosophie sociale de Boiron   fait clairement partie du savoir réussir de l’entreprise. Christian   Boiron lui a consacré toute son énergie depuis plus de 40 ans.   Elle place l’épanouissement au cœur de l’efficacité économique   de l’entreprise. Nous aimons la convivialité  les relations simples   et directes  le dialogue dans l’écoute  le respect mutuel et   la transparence des règles du jeu. Si vous voulez rejoindre les   3 700 salariés du groupe  nous recherchons  un : CHEF DE PROJET   GESTION DE PRODUCTION (h/f) Au sein de la Direction Supply Chain   - service Supports Industriel  vous évoluerez dans l'équipe Gestion   de Production chargée d'assurer la cohérence de l'évolution et   du fonctionnement du système d'informations industriel (flux   et données). VOTRE MISSION : * Animation de projets : Vous assurerez   l'interface entre les fonctions métiers et les services informatiques.   Vous serez également amené à organiser des groupes de travail   lors des phases projets et à animer des formations. * Mise en   place de solutions adaptées aux besoins industriels : Vous concourrez   aux choix des solutions (fonctionnelles et/ou techniques) en   lien avec les différents métiers. Puis  dans le cadre de la mise   en œuvre  vous participerez : - aux différentes phases d'implantation   de la solution  - à la recette et au processus de validation   pharmaceutique afin de s'assurer de la conformité de la solution.   La solution en place  vous apporterez une assistance fonctionnelle   et support aux utilisatrices. * Organisation du travail : Vous   anticiperez et structurerez l'organisation de projets : identification   des tâches  des charges  des ressources  des délais. Vous participerez   à la coordination d'équipes projet et gérerez différents sujets   en parallèle. * Votre premier projet : Il sera axé sur la gestion   des données techniques. Vous viendrez assister l'équipe en charge   de leur gestion dans la mise en cohérence du contenu de la base   de données de marquage  composante essentielle dans la qualité   de production de plus de 20 000 articles. Pour ce faire  vous   travaillerez notamment à la définition d'un cadre méthodologique.   VOTRE PROFIL : Vous avez une formation ingénieur ou master sur   les thématiques industrielles  organisation ou système d'information.   Des connaissances en _______PLM_______ / MDM seraient un plus.CDD d'un an.
maîtriser plm et ses outils est un impératif,utilisatrice,2016,chef de projet iao,chef projet plm,6 d Informatique industrielle,Ingénierie – R&D,experimenté,45 k€ et plus,Nord-Pas-de-Calais-Picardie,est un Cabinet de Recrutement lillois spécialisé dans les métiers   des Cadres et Dirigeants pour l'industrie. Nous accompagnons   les directions des ressources humaines des sociétés industrielles   et technologiques du Grand Nord de la France et de la Belgique   dans le développement de leur potentiel humain.Poste et missions   : Pour le compte de l'un de nos clients  équipementier automobile   de rang 1 de dimension mondiale  nous recherchons un Chef de   Projet spécialisé en IAO ( Ingénierie Assistée par Ordinateur   )  qui aura en charge l'administration et le développement du   système d'information métiers de notre client composé de logiciels   de CAO  de simulation  de SGDT et applicatifs de gestion de projets.   Au sein de la DSIO  vous prendrez en charge en les missions suivantes    en lien avec les différentes usines et centres de développement   dans le monde : - Assurer l'opérabilité des systèmes d'informations   supportant le développement produit - Accompagner les équipes   métiers dans le développement de nouvelles solutions métiers   ou la mise en oeuvre d'évolutions fonctionnelles - Manager  les   projets d'évolutions des logiciels et outils métiers - Piloter   la qualité du support technique apporté par les éditeurs et les   prestataires  - Réaliser la Veille Technologique et Métiers autour   de l'IAO  du _______PLM_______ et de la simulation numérique.Profil : Diplômé   d'une école d'ingénieurs ou titulaire d'un MASTER  vous justifiez   idéalement d'une première expérience réussie comme ingénieur   informatique au sein d'une DSI d'une entreprise industrielle   disposant d'une activité Bureau d'Etudes. Vous disposez de solides   connaissances dans le _______PLM_______ côté métier ou informatique idéalement   autour de CATIA V5  Métaphase  Teamcenter  GBL. Vous aimez le   contact avec les utilisatrices et les fournisseurs  vous êtes   organisés et maîtrisez l'anglais professionnel.
développement solutions plm,intégratrice,2016,chef de projet industrialisation,chef projet industrialisation,6 d Informatique industrielle,Activités informatiques,toute experience,de 38 k€ à 44 k€,Languedoc-Roussillon-Midi-Pyrénées,rises   du Numérique. Grâce à nos 11.700 collaborateurs dont 9300 en   France  nous accompagnons les entreprises dans leur transformation   digitale. Notre activité d'éditeur de logiciels (Software) représente   plus de 10% de notre activité avec plus de 800 collaborateurs.   déjà n°1 parmi les Collectivités et Etablissements Publics en   France. Poste et missions : Pour accompagner son développement    la branche Software renforce ses équipes de R&D et recherche   un Chef de Projet « Industrialisation ». Homme ou femme de processus    celui-ci (celle-ci) sera responsable de la mise en oeuvre des   outils de _______PLM_______ et de reporting au sein des différentes équipes   R&D produits : depuis la définition du paramétrage jusqu'au contrôle   des bonnes pratiques. Profil : De formation Bac +5 en informatique   (Master MIAGE ou école d'ingénieur) vous justifiez d'une solide   expérience du développement logiciel sur des projets d'envergure   (plusieurs milliers de jxh) avec des équipes réparties sur plusieurs   sites. Dans le cadre du développement d'applications de gestion   en environnement n-tiers vous avez acquis une très bonne pratique   d'un ou plusieurs framework de développement  d'au moins un langage   orienté objet (C#  C++ ou Java) et d'un SGBDR (Oracle  SqlServer).   Vous maîtrisez la gestion du cycle de vie logiciel  la gestion   de projet en mode agile de type SCRUM  les processus d'intégration   continue et avez une solide pratique des outils afférents dans   les environnements Microsoft : TFS et MSProject. Vous êtes convaincu(e)   que pour garantir la qualité  le développement logiciel doit   être piloté dans une logique de processus industriel en s'appuyant   sur des outils partagés et des dispositions comprises et appliquées   par l'ensemble des acteurs de l'entreprise. Homme ou femme de   résultats  votre expérience  votre capacité d'écoute et votre   autorité naturelle vous permettront d'entraîner l'adhésion de   vos interlocuteurs.
connaissance d'outil plm,utilisatrice,2016,chef de projet informatique domaine si finance & rh,chef projet plm,6 g Système  réseaux  données,Formation initiale et continue,experimenté,de 38 k€ à 44 k€,Aquitaine-Limousin-Poitou-Charentes,distance    est au cœur de l’innovation pour permettre à chacun d’apprendre   et de se former avec les technologies d’aujourd’hui. L’établissement   s’adresse à tous les public. Il offre la possibilité de suivre   à distance et en ligne une formation quel que soit son projet :   scolarité initiale  reprise d’études dans l’enseignement secondaire    études supérieures  préparation de concours de la fonction publique   ou de concours enseignants  formation professionnelle. Poste   et missions : Le chef de projet  - domaine SI finances & RH    définit  met en œuvre et pilote des projets informatiques dans   le domaine FIRH  depuis leur conception jusqu’à leur déploiement    en réponse aux exigences formulées par le chef de projet MOA   ou le client métier  et selon la démarche méthodologique en vigueur   à la DSI. Missions •             Assiste la MOA dans l’expression   des besoins fonctionnels (rédaction cahier des charges) et rédige   les spécifications fonctionnelles et techniques  •               Organise les contacts fournisseurs et la mise en concurrence   pour le choix de progiciels ou la sous-traitance. •               Anime les réunions de projet  •             Coordonne et anime   les équipes techniques internes ou les sous-traitants affectés   au projet  •             Exploite et synthétise les connaissances   des experts pour définir l’architecture et les technologies à   déployer  •             Supervise les tests et la recette du   système cible en lien avec la MOA  •             Garantit la   conformité des livrables  •             Organise la formation   et la communication autour du projet côté maitrise d’œuvre  •               Organise la mise en production en lien avec les équipes en charge   de l’exploitation  du support et de la maintenance applicative   sur le projet  •             Définit le process support utilisatrice   en lien avec le service support et réalise un support niveau   3 sur les applicatifs qu’il gère  •             Définit le process   de maintenance applicative et anime le comité de maintenance   évolutif  •             Garantit le respect des coûts  des délais    et du cahier des charges  •             Centralise et valide   les éléments du plan documentaire en respectant la gouvernance   DSI  Profil : Formation de niveau Bac +4/5 Vous connaissez les   progiciels ERP  SIRH  _______PLM_______  BPM  GED  BI  et les exigences réglementaires   du domaine Finances & RH  Vous avez une bonne connaissance du   cadre réglementaire des marchés publics  et une expérience avérée   de la conduite de projets informatiques  ainsi qu’en suivi budgétaire   des projets en gestion des prestations de sous-traitance  Vous   maitrisez : les outils collaboratifs et de gestion d
connaissance d'outil plm,utilisatrice,2015,chef de projet informatique industrie & supply chain aval,chef projet plm,6 f Maîtrise d’ouvrage et fonctionnel,Meuble  Textile et autres industries manufacturières,experimenté,45 k€ et plus,Alsace-Champagne-Ardenne-Lorraine,rsonne avec une   expertise incontestée dans le domaine de l'enfance  Petit Bateau   implanté à Troyes  a su s'imposer par son esprit novateur et la grande   qualité de ses produits. La Direction Informatique du Groupe Petit   Bateau compte une vingtaine de collaborateurs répartis entre les Etudes    l'Intégration et la Production. Aujourd'hui nous recherchons pour le   Pôle Etudes  un Chef de projet Informatique Industrie et Supply Chain   Aval. Rattaché au Responsable du département Opérations  le Chef de   projet Industrie et Supply Chain Aval travaille en étroite collaboration   avec la MOA et les équipes techniques. Il intervient sur la mise en   œuvre de nouvelles solutions (_______PLM_______  WMS) et les évolutions applicatives   du périmètre technico-fonctionnel dont il a la responsabilité en   cohérence avec l'organisation & l'évolution de l'entreprise. Véritable   Chef de Projet  il est responsable du pilotage et de la coordination des   projets fonctionnels et techniques du domaine industriel et de la Supply   Chain Aval. Garant de la bonne intégration des outils avec le   Core-Model  il accompagne les utilisatrices dans l'analyse de leurs   besoins et détermine la faisabilité des projets. Il propose des   évolutions et assure la pérennité du patrimoine applicatif. Garant de la   cohérence des flux de données entre les outils _______PLM_______ et WMS avec le   Core-Model SAP  il assure la mise en place des outils/applications ou   des évolutions dans le respect des contraintes de délai  de qualité  de   budget et de sécurité. Au-delà de la veille technologique de son   domaine  il est en charge des budgets d'investissement et de   fonctionnement du domaine. (H/F) De formation Ingénieur en informatique   ou formation universitaire équivalente et à minima de formation Bac +3   en informatique  le candidat dispose d'une expérience d'au moins 5   années en tant qu'Ingénieur d'études ou Chef de projet dans le domaine   industriel et/ou de la logistique d'entrepôt. La connaissance de SAP   (MM  WM) serait un plus ainsi que la connaissance d'un _______PLM_______. Dynamique et   ouvert  le candidat est reconnu pour ses capacités d'organisation    d'animation et d'anticipation. Il doit s'imposer tout en faisant preuve   de diplomatie. Doté d'un fort esprit d'équipe et aussi d'autonomie  il   est investi dans la résolution des problèmes. Un excellent relationnel   et un talent pour communiquer lui permettent de s'imposer en interne et   en externe comme un interlocuteur de tout premier plan. La maîtrise d'un   anglais opérationnel (lu/écrit) est requise pour cette mission compte   tenu de l'environnement international de Petit Bateau. XVBH CONSEIL -   Florence de Casanove- 11 avenue Myron Her
connaissance d'outil plm,utilisatrice,2016,chef de projet informatique scientifique et technique,chef projet plm,6 d Informatique industrielle,Automobile  aéronautique et autres matériels de transport,toute experience,de 38 k€ à 44 k€,Nord-Pas-de-Calais-Picardie,est un Cabinet de Recrutement lillois spécialisé dans les métiers   des Cadres et Dirigeants pour l'industrie. Nous accompagnons   les directions des ressources humaines des sociétés industrielles   et technologiques du Grand Nord de la France et de la Belgique   dans le développement de leur potentiel humain. Pour le compte   de l'un de nos clients  équipementier automobile de rang 1 de   dimension mondiale  nous recherchons un Chef de Projet Scientifique   et Technique.  Poste et missions : Au sein de la DSIO  vous   prendrez en charge les missions suivantes  en lien avec les différentes   usines et centres de développement dans le monde : - Assurer   l'opérabilité des systèmes d'informations supportant le développement   produit - Accompagner les équipes métiers dans le développement   de nouvelles solutions métiers ou la mise en oeuvre d'évolutions   fonctionnelles - Manager  les projets d'évolutions des logiciels   et outils métiers - Piloter la qualité du support technique apporté   par les éditeurs et les prestataires  - Réaliser la Veille Technologique   et Métiers autour de l'IAO  du _______PLM_______ et de la simulation numérique.  Profil : Diplômé d'une école d'ingénieurs en informatique    vous justifiez idéalement d'une première expérience réussie comme   ingénieur développement ou AMOA idéalement au sein d'une DSI   d'une entreprise industrielle disposant d'une activité Bureau   d'Etudes. Vous aimez le contact avec les utilisatrices et les   fournisseurs  vous êtes organisés et maîtrisez l'anglais professionnel.   
maîtriser plm et ses outils est un impératif,intégratrice,2015,chef de projet intégration plm / erp,chef projet plm,4 d Projets scientifiques et techniques,Ingénierie – R&D,experimenté,moins de 33 k€,Centre-Val de Loire,lles  le groupe   eXcent met au service de ses clients une expertise en ingénierie   mécanique et organise ses compétences en 8 Business Units : Industrial   Expertises  Tooling Services  Industrial Support  Research Equipments    Drilling Services  Research and Development  Stress&Calculation   et Product. Présent en France et à l'international  le groupe   eXcent compte plus de 500 salariés et prévoit  à travers son   programme de croissance eXcentive 1000  un Chiffre d'Affaires   de 100 millions d'euros en 2017. Son haut niveau d'exigence    sa proximité et son esprit d'équipe permettent à eXcent d'assister   les grands donneurs d'ordre dans la mise en œuvre de leurs projets   industriels tant complexes qu'ambitieux qu'ils soient dans les   secteurs de l'Aéronautique  du Ferroviaire  de l'Energie  de   la Défense  de l'Automobile  du Naval ou encore du Spatial. Nous   recrutons pour l'un de nos clients du secteur de l'aéronautique   : Un(e) Chef de projet intégration _______PLM_______ / ERP Poste basé en région   Centre Vous serez chargé de : - Piloter un projet d'intégration   de la gestion des articles et des nomenclatures dans le _______PLM_______ Smarteam   et son interfaçage avec l'ERP (Infor M3) - Coordonner avec le   responsable MOA _______PLM_______  le responsable MOA ERP  et l'ensemble des   services impliqués (Bureau d'étude  gestion des données techniques    industrialisation  supply chain)  le pilotage de ce projet depuis   la phase de cadrage jusqu'à la livraison de la solution - Assurer   la conduite du changement en lien avec le service _______PLM_______ - Préparer   les comités projets et proposer les arbitrages sur les objectifs   coûts / qualité / délai - Assurer le reporting De formation ingénieur   bureau d'étude aéronautique avec spécialisation _______PLM_______ (product   lifecycle management)  vous possédez une expérience d'au moins   2 ans sur un poste similaire . Vous maitrisez tous les concepts   du PDM et du _______PLM_______ et notamment les problématiques de gestion de   configuration . Vous avez une connaissance de l' outil Catia   V5 et de Smarteam . Une connaissance de l'ERP Infor M3 est un   plus. Démarrage : ASAP CDD : 6 mois Rejoignez un groupe à fort   engagement humain où professionnalisme  réactivité et souci du   service client sont les garants de notre culture d'entreprise.
connaissance d'outil plm,intégratrice,2016,chef de projet international,chef projet plm,6 c Informatique de gestion,Intermédiaires du recrutement,experimenté,45 k€ et plus,Etranger,) à Shanghai    et reportant directement au responsable de la filiale en Chine    le/la candidat(e) aura pour mission de déployer la solution informatique   Groupe en Chine et en Thaïlande  puis dans d’autres filiales   du continent asiatique. Les principales missions seront : - Piloter   le déploiement de la solution Groupe (_______PLM_______  ERP  MES) au sein   d’une équipe internationale (planification  suivi  alertes  gestion   des incidents projets  …). - Maîtriser suffisamment les fonctionnalités   de ces solutions pour offrir un premier niveau de réponse aux   équipes locales en phase de déploiement D’assister et coordonner   les acteurs métiers et informatiques locaux participants aux   projets de déploiement dans les tâches d’expression de besoins    de tests et de documentation (processus  autorisations  master   data  …). - Réaliser des documentations et d’animer des formations   si nécessaire. - Faciliter la relation entre les filiales utilisatrices   et les centres de compétence. De formation supérieure généraliste   ou en informatique (Bac+5)  le/la candidat(e) justifiera d’une   expérience professionnelle au minimum de 5 années en gestion   de déploiement de projets à l’international et idéalement sur   le continent asiatique . La maitrise de l’anglais à l’écrit et   à l’oral est indispensable dans ce poste ainsi qu’une bonne maîtrise   de la gestion de projet. Des déplacements réguliers au sein de   la zone Asie sont à prévoir ainsi qu’au siège du groupe  basé   en France (région PACA). Le/la candidat(e) devra posséder un   très bon relationnel  une bonne capacité d’écoute et adaptation   ainsi qu’un esprit d’analyse et de synthèse.
connaissance d'outil plm,intégratrice,2015,chef de projet ispl,chef projet plm,6 g Système  réseaux  données,Activités informatiques,experimenté,de 38 k€ à 44 k€,Languedoc-Roussillon-Midi-Pyrénées,qui compte 650 collaborateurs en France. Nous proposons à nos   clients les prestations et ressources nécessaires à la conception    l'exploitation  le support et l'évolution d'une infrastructure   informatique. TRSB a basé sa croissance sur les valeurs de réactivité    de proximité et de respect. Suite à notre entrée en bourse et   au développement de nos agences régionales  nous prévoyons de   recruter 200 nouveaux collaborateurs en 2015. Comme nous  vous   souhaitez profiter de réelles perspectives d'évolution et partager   des projets innovants ? Rejoignez-nous ! Poste et missions :   Le chef de projet IS (ISPL) organise  dirige et surveille la   livraison d'un projet  afin d'obtenir un résultat qui satisfait   aux exigences fonctionnelles et techniques  en respectant le   budget convenu et le calendrier. Il est hiérarchiquement rattaché   au Chef de Projet IT. PRINCIPALES RESPONSABILITÉS: Le chef de   projet IS (ISPL) est responsable de:  toute ou partie du budget  du   plan de projet  il doit fournir la solution attendue dans les   limites de temps et de budget autorisé  il dirige des les activités   du projet  il à en charge la Coordination de toutes les activités   techniques et d'infrastructures fonctionnelles nécessaires à   la conception. - Développement - Intégration - Mise en œuvre   de la solution (y compris la sélection de l'outil  la sélection   sous-traitant) - Gère les coûts de surveillance et de la performance   - Dirige l'activité de l'équipe de projet IS - Assure un usage   correct de l'allocation des ressources  y compris les décisions   de sourcing (IS sous-traitance) - Évalue la pertinence des solutions   proposées (Validation) - Vérification de la conformité avec les   exigences de la solution - Examine régulièrement les processus   d'intégration avec l'équipe d'intégration - Etabli les exigences   de niveau de service (SLA) - Assure la configuration de produit   de gestion / administration - Facilite la communication entre   tous les acteurs concernés Profil : Ingénieur avec une expérience   significative dans les projets _______PLM_______ - Outils * Connaissance /   pratique de l'Airbus A350 DMU Toolset: VPM   CATIA V5   Full3D     DELMIA - Autres: * Expérience en gestion est un projet fortement   demandé ( > 5 ans ) * Connaissance de la méthodologie PPM - Anglais   Courant- Expérience de travail dans un environnement d'Airbus      
connaissance d'outil plm,utilisatrice,2015,chef de projet it-plm,chef projet plm,6 d Informatique industrielle,Activités informatiques,experimenté,de 38 k€ à 44 k€,Île-de-France, Localisation: Massy   (Région Parisienne) Type de contrat: CDI temps plein Rémunération: Selon   profil Date de début: Dès que possible Présentation de l'  Diotasoft est une jeune entreprise innovante qui propose des solutions   de réalité augmentée très novatrices pour l'industrie. La société étant   en pleine croissance  nous recherchons un chef de projet H-F qui   contribuera au bon déroulement de nos projets industriels et à   l'élaboration de nos solutions  en collaboration directe avec nos   clients grands comptes ainsi que nos équipes R&D et commerciales.   Description de l'offre: Rattaché à la direction industrielle et soutenu   par nos équipes R&D et commerciales  vos principales missions seront les   suivantes: + Captation des besoins clients et analyse des usages   potentiels de nos solutions + Formalisation des besoins clients et   dimensionnement des projets + Gestion des projets au quotidien +   Conception et suivi des supports de gestion internes (tableaux de bord    ...) + Reporting auprès de la direction + Suivi des relations avec les   clients en complément de la force commerciale Profil du candidat   recherché: De formation Bac +3/5 (Licence / Maîtrise  Ecole d'ingénieur    Master)  vous avez a minima une première expérience en gestion de projet   à forte composante technologique et/ou industrielle. Idéalement  vous   êtes à l'aise avec les concepts et outils communément utilisés dans les   systèmes d'informations industriels (_______PLM_______  MES et autres). Compétences   requises: + Forte capacité d'écoute et d'analyse  proactif  force de   propositions + Aisance relationnelle et rédactionnelle + Goût du travail   d'équipe dans une start-up en pleine ébullition et capacité à intervenir   dans des projets impliquant de grands comptes de l'industrie + Parfaite   maîtrise du français  notamment à l'écrit + Anglais professionnel et   allemand apprécié + Bonne culture industrielle  notamment _______PLM_______ et MES +   Réel intérêt pour les nouvelles technologies interactives (Réalité   virtuelle  Réalité augmentée) et idéalement une première expérience dans   le domaine Si ce poste est fait pour vous  envoyez votre candidature par   e-mail. DIOTASOFT SAS - Mme Maïmouna DIARRA - 15 avenue Emile Baudot -   91300 Massy France - jobs@diotasoft.com
maîtriser plm et ses outils est un impératif,utilisatrice,2016,chef de projet it-plm,chef projet plm,4 d Projets scientifiques et techniques,Activités informatiques,experimenté,de 38 k€ à 44 k€,Île-de-France,ui   propose des solutions de réalité augmentée très novatrices pour   l’industrie. La société étant en pleine croissance  nous recherchons   un chef de projet H-F qui contribuera au bon déroulement de nos   projets industriels et à l’élaboration de nos solutions  en collaboration   directe avec nos clients grands comptes ainsi que nos équipes   R&D et commerciales.Poste et missions : Rattaché(e) à la direction   industrielle et soutenu par nos équipes R&D et commerciales    vos principales missions seront les suivantes : Captation des   besoins clients et analyse des usages potentiels de nos solutions   Formalisation des besoins clients et dimensionnement des projets   Gestion des projets au quotidien Conception et suivi des supports   de gestion internes (tableaux de bord  …) Reporting auprès de   la direction Suivi des relations avec les clients en complément   de la force commercialeProfil : De formation Bac +3/5 (Licence   / Maîtrise  Ecole d’ingénieur  Master)  vous avez a minima une   première expérience en gestion de projet à forte composante technologique   et/ou industrielle. Idéalement  vous êtes à l’aise avec les concepts   et outils communément utilisés dans les systèmes d’informations   industriels (_______PLM_______  MES et autres).Compétences requises : Forte   capacité d'écoute et d'analyse  proactif  force de propositions   Aisance relationnelle et rédactionnelle Goût du travail d’équipe   dans une start-up en pleine ébullition et capacité à intervenir   dans des projets impliquant de grands comptes de l’industrie   Parfaite maîtrise du français  notamment à l’écrit Anglais professionnel   et allemand apprécié Bonne culture industrielle  notamment _______PLM_______   et MES Réel intérêt pour les nouvelles technologies interactives   (Réalité virtuelle  Réalité augmentée) et idéalement une première   expérience dans le domainePoste à pourvoir très rapidement.
maîtriser plm et ses outils est un impératif,intégratrice,2016,chef de projet mecanique,chef projet industrialisation,4 d Projets scientifiques et techniques,Intermédiaires du recrutement,toute experience,45 k€ et plus,Île-de-France,hef de projet   mécanique bureau d’études H/F Missions : Analyse du cahier des   charges clients  Définition  planification et suivi de toutes   les activités liées aux projets. Suivi et maîtrise du planning   et des coûts en limitant les dépenses à celles prévues dans le   cadre du projet. Gestion des équipes liées au projet (qualité    engineering  marketing et achats). Garantir le respect du Système   Qualité Piloter la veille technologique et des brevets avec l’   équipe Profil : Vous possédez une expérience d’au moins 5 ans   dans le développement de nouveaux produits acquis dans un bureau   d’études. Vous avez piloté des projets avec des équipes incluant   : marketing  BE  méthodes  achats  production  et SAV. Vous maitrisez   Solidworks et EPDM (CAO et _______PLM_______) et  de toute évidence  le pack   office. Vous avez des connaissances en fonderie et usinage et   idéalement en injection plastique. Votre ingéniosité alliée à   votre rigueur font de vous un élément fiable. Vous êtes force   de proposition et novateur dans les solutions technologiques.   Vous savez convaincre vos interlocuteurs du bien-fondé des solutions   techniques retenues. De plus  votre leadership naturel vous permettra   de réussir pleinement dans cette fonction et de faire adhérer   les équipes aux projets. La maîtrise de l’anglais est impérative.
